player_name,roster_source,draft_team,final_team,position,pro_team,games_played,actual_total_points,projected_total_points,projection_difference,projection_percentile,percent_above_projection,projection_status
Reed Sheppard,Final,,Van Der Linde Gang,SG,HOU,82.0,2438.0,0.0,2438.0,73.89,,Near Projection
Matas Buzelis,Final,,Poole Party,SF,CHI,77.0,2429.0,0.0,2429.0,73.33,,Near Projection
CJ McCollum,Both,Goat's,SKAVALASSKKYYYY,SG,ATL,76.0,2421.0,0.0,2421.0,72.78,,Near Projection
Pascal Siakam,Both,Poole Party,Poole Party,PF,IND,62.0,2420.0,0.0,2420.0,72.22,,Near Projection
Miles Bridges,Both,Van Der Linde Gang,Van Der Linde Gang,SF,CHA,77.0,2381.0,0.0,2381.0,71.39,,Near Projection
Stephon Castle,Both,Kat's Kittens,Kat's Kittens,PG,SAS,68.0,2381.0,0.0,2381.0,71.39,,Near Projection
Collin Gillespie,Final,,Goat's,PG,PHO,80.0,2376.0,0.0,2376.0,70.56,,Near Projection
Jabari Smith Jr.,Final,,Phantom Troupe,PF,HOU,77.0,2359.0,0.0,2359.0,70.0,,Near Projection
Donte DiVincenzo,Final,,Kat's Kittens,SG,MIN,82.0,2338.0,0.0,2338.0,69.44,,Near Projection
Brandin Podziemski,Final,,Jeremy Lin fan club,SG,GSW,82.0,2336.0,0.0,2336.0,68.89,,Near Projection
Derik Queen,Final,,Van Der Linde Gang,C,NOP,81.0,2295.0,0.0,2295.0,68.33,,Near Projection
Naz Reid,Both,SKAVALASSKKYYYY,Jeremy Lin fan club,C,MIN,77.0,2279.0,0.0,2279.0,67.78,,Near Projection
Josh Giddey,Both,Hawk Tuah Demure,Hawk Tuah Demure,SG,CHI,54.0,2265.0,0.0,2265.0,67.22,,Near Projection
Neemias Queta,Final,,Van Der Linde Gang,C,BOS,76.0,2256.0,0.0,2256.0,66.67,,Near Projection
Jaden McDaniels,Both,Jeremy Lin fan club,Hawk Tuah Demure,SF,MIN,73.0,2245.0,0.0,2245.0,66.11,,Near Projection
Jaime Jaquez Jr.,Final,,YSK FC,SF,MIA,75.0,2236.0,0.0,2236.0,65.56,,Near Projection
Toumani Camara,Both,Hawk Tuah Demure,Jeremy Lin fan club,PF,POR,82.0,2223.0,0.0,2223.0,65.0,,Near Projection
Brandon Miller,Both,ybgcorp,ybgcorp,SF,CHA,65.0,2222.0,0.0,2222.0,64.44,,Near Projection
OG Anunoby,Both,Phantom Troupe,Phantom Troupe,SF,NYK,67.0,2214.0,0.0,2214.0,63.89,,Near Projection
Kel'el Ware,Both,Van Der Linde Gang,Van Der Linde Gang,C,MIA,77.0,2211.0,0.0,2211.0,63.33,,Near Projection
Saddiq Bey,Final,,SKAVALASSKKYYYY,SF,NOP,72.0,2208.0,0.0,2208.0,62.78,,Near Projection
Zion Williamson,Both,Phantom Troupe,Phantom Troupe,PF,NOP,62.0,2207.0,0.0,2207.0,62.22,,Near Projection
Ausar Thompson,Both,Phantom Troupe,Phantom Troupe,SF,DET,73.0,2188.0,0.0,2188.0,61.67,,Near Projection
Andrew Wiggins,Both,YSK FC,YSK FC,SF,MIA,68.0,2174.0,0.0,2174.0,61.11,,Near Projection
Nikola Vucevic,Both,Jeremy Lin fan club,Jeremy Lin fan club,C,BOS,64.0,2151.0,0.0,2151.0,60.56,,Near Projection
Keyonte George,Both,Van Der Linde Gang,Van Der Linde Gang,PG,UTA,54.0,2110.0,0.0,2110.0,60.0,,Near Projection
Josh Hart,Both,Kat's Kittens,Kat's Kittens,SF,NYK,66.0,2099.0,0.0,2099.0,59.44,,Near Projection
Jeremiah Fears,Final,,Hawk Tuah Demure,SG,NOP,82.0,2096.0,0.0,2096.0,58.89,,Near Projection
Nic Claxton,Both,SKAVALASSKKYYYY,YSK FC,C,BKN,69.0,2088.0,0.0,2088.0,58.33,,Near Projection
Russell Westbrook,Final,,YSK FC,PG,SAC,64.0,2082.0,0.0,2082.0,57.78,,Near Projection
Naji Marshall,Final,,YSK FC,SF,DAL,74.0,2079.0,0.0,2079.0,57.22,,Near Projection
Wendell Carter Jr.,Final,,Goat's,C,ORL,78.0,2078.0,0.0,2078.0,56.67,,Near Projection
Tre Jones,Final,,Phantom Troupe,PG,CHI,65.0,2052.0,0.0,2052.0,56.11,,Near Projection
Michael Porter Jr.,Both,Poole Party,Goat's,SF,BKN,52.0,2044.0,0.0,2044.0,55.56,,Near Projection
Austin Reaves,Both,ybgcorp,ybgcorp,SG,LAL,51.0,2043.0,0.0,2043.0,55.0,,Near Projection
Kyle Filipowski,Final,,YSK FC,PF,UTA,77.0,2035.0,0.0,2035.0,54.44,,Near Projection
Deandre Ayton,Both,Van Der Linde Gang,Goat's,C,LAL,72.0,2023.0,0.0,2023.0,53.89,,Near Projection
