week,fantasy_team_id,fantasy_team,opponent_team_id,opponent_team,player_id,player_name,position,lineup_slot,eligible_slots,points,was_started,pro_team,injury_status,injured
1,5,Poole Party,3,Kat's Kittens,4277811,Collin Sexton,SG,PG,"['PG', 'SG', 'G', 'SG/SF', 'G/F', 'UT', 'BE', 'IR']",97.0,True,CHI,ACTIVE,False
1,5,Poole Party,3,Kat's Kittens,3136776,D'Angelo Russell,PG,PG,"['PG', 'SG', 'G', 'SG/SF', 'G/F', 'UT', 'BE', 'IR']",58.0,True,WAS,OUT,True
1,5,Poole Party,3,Kat's Kittens,4873138,Ace Bailey,SF,PG,"['SF', 'PF', 'F', 'SG/SF', 'G/F', 'PF/C', 'F/C', 'UT', 'BE', 'IR']",4.0,True,UTA,ACTIVE,False
1,5,Poole Party,3,Kat's Kittens,4711294,Matas Buzelis,SF,PG,"['SF', 'PF', 'F', 'SG/SF', 'G/F', 'PF/C', 'F/C', 'UT', 'BE', 'IR']",2.0,True,CHI,OUT,True
1,5,Poole Party,3,Kat's Kittens,3149673,Pascal Siakam,PF,PG,"['PF', 'F', 'G/F', 'PF/C', 'F/C', 'UT', 'BE', 'IR']",146.0,True,IND,OUT,True
1,5,Poole Party,3,Kat's Kittens,5238230,Tre Johnson,SG,PG,"['SG', 'G', 'SG/SF', 'G/F', 'UT', 'BE', 'IR']",88.0,True,WAS,OUT,True
1,5,Poole Party,3,Kat's Kittens,4351851,Anfernee Simons,SG,PG,"['PG', 'SG', 'G', 'SG/SF', 'G/F', 'UT', 'BE', 'IR']",63.0,True,CHI,OUT,True
1,5,Poole Party,3,Kat's Kittens,4278104,Michael Porter Jr.,SF,PG,"['SF', 'PF', 'F', 'SG/SF', 'G/F', 'PF/C', 'F/C', 'UT', 'BE', 'IR']",21.0,True,BKN,OUT,True
1,5,Poole Party,3,Kat's Kittens,4594268,Anthony Edwards,SG,PG,"['SG', 'SF', 'G', 'F', 'SG/SF', 'G/F', 'F/C', 'UT', 'BE', 'IR']",105.0,True,MIN,ACTIVE,False
1,5,Poole Party,3,Kat's Kittens,3995,Jrue Holiday,PG,PG,"['PG', 'SG', 'G', 'SG/SF', 'G/F', 'UT', 'BE', 'IR']",107.0,True,POR,ACTIVE,False
1,5,Poole Party,3,Kat's Kittens,5174563,Kyshawn George,SG,PG,"['SG', 'SF', 'G', 'F', 'SG/SF', 'G/F', 'F/C', 'UT', 'BE', 'IR']",17.0,True,WAS,OUT,True
1,5,Poole Party,3,Kat's Kittens,4432158,Evan Mobley,PF,PG,"['PF', 'C', 'F', 'G/F', 'PF/C', 'F/C', 'UT', 'BE', 'IR']",132.0,True,CLE,ACTIVE,False
1,5,Poole Party,3,Kat's Kittens,5160992,Alex Sarr,C,PG,"['C', 'PF/C', 'F/C', 'UT', 'BE', 'IR']",113.0,True,WAS,OUT,True
1,3,Kat's Kittens,5,Poole Party,4431680,Onyeka Okongwu,C,PG,"['C', 'PF/C', 'F/C', 'UT', 'BE', 'IR']",108.0,True,ATL,ACTIVE,False
1,3,Kat's Kittens,5,Poole Party,5105592,Cam Whitmore,SF,PG,"['SF', 'F', 'SG/SF', 'G/F', 'F/C', 'UT', 'BE', 'IR']",46.0,True,WAS,OUT,True
1,3,Kat's Kittens,5,Poole Party,4433621,Jalen Duren,C,PG,"['C', 'PF/C', 'F/C', 'UT', 'BE', 'IR']",97.0,True,DET,ACTIVE,False
1,3,Kat's Kittens,5,Poole Party,6583,Anthony Davis,C,PG,"['PF', 'C', 'F', 'G/F', 'PF/C', 'F/C', 'UT', 'BE', 'IR']",151.0,True,WAS,OUT,True
1,3,Kat's Kittens,5,Poole Party,3062679,Josh Hart,SF,PG,"['SG', 'SF', 'G', 'F', 'SG/SF', 'G/F', 'F/C', 'UT', 'BE', 'IR']",16.0,True,NYK,ACTIVE,False
1,3,Kat's Kittens,5,Poole Party,4395625,RJ Barrett,SF,PG,"['SG', 'SF', 'PF', 'G', 'F', 'SG/SF', 'G/F', 'PF/C', 'F/C', 'UT', 'BE', 'IR']",123.0,True,TOR,ACTIVE,False
1,3,Kat's Kittens,5,Poole Party,3064514,Julius Randle,PF,PG,"['PF', 'F', 'G/F', 'PF/C', 'F/C', 'UT', 'BE', 'IR']",146.0,True,MIN,ACTIVE,False
1,3,Kat's Kittens,5,Poole Party,3136195,Karl-Anthony Towns,C,PG,"['PF', 'C', 'F', 'G/F', 'PF/C', 'F/C', 'UT', 'BE', 'IR']",109.0,True,NYK,ACTIVE,False
1,3,Kat's Kittens,5,Poole Party,3934673,Donte DiVincenzo,SG,PG,"['PG', 'SG', 'G', 'SG/SF', 'G/F', 'UT', 'BE', 'IR']",77.0,True,MIN,OUT,True
1,3,Kat's Kittens,5,Poole Party,4431678,Tyrese Maxey,PG,PG,"['PG', 'SG', 'G', 'SG/SF', 'G/F', 'UT', 'BE', 'IR']",120.0,True,PHL,ACTIVE,False
1,3,Kat's Kittens,5,Poole Party,4845367,Stephon Castle,PG,PG,"['PG', 'SG', 'G', 'SG/SF', 'G/F', 'UT', 'BE', 'IR']",72.0,True,SAS,ACTIVE,False
1,10,Van Der Linde Gang,2,Phantom Troupe,4566434,Franz Wagner,SF,PG,"['SF', 'PF', 'F', 'SG/SF', 'G/F', 'PF/C', 'F/C', 'UT', 'BE', 'IR']",108.0,True,ORL,OUT,True
1,10,Van Der Linde Gang,2,Phantom Troupe,4066262,Malik Monk,SG,PG,"['PG', 'SG', 'SF', 'G', 'F', 'SG/SF', 'G/F', 'F/C', 'UT', 'BE', 'IR']",113.0,True,SAC,OUT,True
1,10,Van Der Linde Gang,2,Phantom Troupe,4432810,Isaiah Stewart,C,PG,"['PF', 'C', 'F', 'G/F', 'PF/C', 'F/C', 'UT', 'BE', 'IR']",36.0,True,DET,ACTIVE,False
1,10,Van Der Linde Gang,2,Phantom Troupe,4683021,Deni Avdija,SF,PG,"['SG', 'SF', 'PF', 'G', 'F', 'SG/SF', 'G/F', 'PF/C', 'F/C', 'UT', 'BE', 'IR']",23.0,True,POR,ACTIVE,False
1,10,Van Der Linde Gang,2,Phantom Troupe,3934672,Jalen Brunson,PG,PG,"['PG', 'G', 'G/F', 'UT', 'BE', 'IR']",138.0,True,NYK,ACTIVE,False
