season_year,week,team_id,team_name,actual_points,optimal_points,points_left,efficiency,management_misses
2026,9,9,ybgcorp,1080.0,1080.0,0.0,1.0,0
2026,9,10,Van Der Linde Gang,1255.0,1255.0,0.0,1.0,0
2026,10,1,YSK FC,1520.0,1520.0,0.0,1.0,0
2026,10,2,Phantom Troupe,1223.0,1223.0,0.0,1.0,0
2026,10,3,Kat's Kittens,1322.0,1322.0,0.0,1.0,0
2026,10,4,SKAVALASSKKYYYY,1387.0,1387.0,0.0,1.0,0
2026,10,5,Poole Party,1185.0,1185.0,0.0,1.0,0
2026,10,6,Jeremy Lin fan club,1168.0,1168.0,0.0,1.0,0
2026,10,7,Goat's,1334.0,1334.0,0.0,1.0,0
2026,10,8,Hawk Tuah Demure,1705.0,1705.0,0.0,1.0,0
2026,10,9,ybgcorp,1320.0,1320.0,0.0,1.0,0
2026,10,10,Van Der Linde Gang,1286.0,1286.0,0.0,1.0,0
2026,11,1,YSK FC,1581.0,1581.0,0.0,1.0,0
2026,11,2,Phantom Troupe,1419.0,1419.0,0.0,1.0,0
2026,11,3,Kat's Kittens,1347.0,1347.0,0.0,1.0,0
2026,11,4,SKAVALASSKKYYYY,1409.0,1409.0,0.0,1.0,0
2026,11,5,Poole Party,1602.0,1602.0,0.0,1.0,0
2026,11,6,Jeremy Lin fan club,1569.0,1569.0,0.0,1.0,0
2026,11,7,Goat's,1578.0,1578.0,0.0,1.0,0
2026,11,8,Hawk Tuah Demure,1564.0,1564.0,0.0,1.0,0
2026,11,9,ybgcorp,1614.0,1614.0,0.0,1.0,0
2026,11,10,Van Der Linde Gang,1447.0,1447.0,0.0,1.0,0
2026,12,1,YSK FC,1489.0,1489.0,0.0,1.0,0
2026,12,2,Phantom Troupe,1199.0,1199.0,0.0,1.0,0
2026,12,3,Kat's Kittens,1349.0,1349.0,0.0,1.0,0
2026,12,4,SKAVALASSKKYYYY,1405.0,1405.0,0.0,1.0,0
2026,12,5,Poole Party,1362.0,1362.0,0.0,1.0,0
