player_name,fantasy_team,overall_pick,avg_points,games_played,actual_pg_rank,expected_avg_points,vope_score,roi,draft_pick_weight,weighted_vope_score,value_status
Nikola Jokic,Hawk Tuah Demure,1,66.31,65.0,1,49.74714285714286,16.56285714285714,0.3329408724119116,2.0,33.12571428571428,Steal
Tyrese Maxey,Kat's Kittens,27,52.16,70.0,5,38.40375,13.756249999999994,0.35820069654656106,1.7984496124031009,24.739922480620145,Steal
Kawhi Leonard,Goat's,83,48.66,65.0,7,34.22666666666666,14.433333333333337,0.4216984807167902,1.3643410852713178,19.69198966408269,Steal
Jalen Johnson,ybgcorp,31,48.56,72.0,8,39.16375,9.396250000000002,0.23992212186013856,1.7674418604651163,16.607325581395354,Steal
Luka Doncic,SKAVALASSKKYYYY,6,59.14,64.0,2,50.77142857142858,8.368571428571421,0.16482836240855356,1.9612403100775193,16.412779623477284,Steal
Keyonte George,Van Der Linde Gang,117,39.07,54.0,33,24.868000000000002,14.201999999999998,0.5710953836255428,1.1007751937984496,15.633209302325579,Steal
Michael Porter Jr.,Poole Party,65,39.31,52.0,29,30.448333333333334,8.861666666666668,0.29103946576167283,1.503875968992248,13.32684754521964,Steal
Julius Randle,Kat's Kittens,74,37.23,79.0,38,28.455714285714286,8.77428571428571,0.3083488126914,1.4341085271317828,12.583277962347724,Steal
Jamal Murray,Goat's,38,46.64,75.0,10,39.40375,7.236249999999998,0.18364368873520917,1.7131782945736433,12.396986434108523,Steal
Trey Murphy III,YSK FC,59,40.5,66.0,24,32.57,7.93,0.2434755910346945,1.550387596899225,12.294573643410853,Steal
Donovan Mitchell,Hawk Tuah Demure,20,46.9,70.0,9,40.68666666666666,6.213333333333338,0.15271178109126674,1.8527131782945736,11.511524547803626,Steal
Andrew Nembhard,YSK FC,99,34.05,57.0,52,25.05,8.999999999999996,0.35928143712574834,1.2403100775193798,11.162790697674414,Steal
Brandon Ingram,Phantom Troupe,73,35.61,77.0,44,28.687142857142856,6.9228571428571435,0.24132264329465666,1.441860465116279,9.981794019933554,Steal
Lauri Markkanen,Hawk Tuah Demure,81,42.05,42.0,20,34.96111111111111,7.088888888888889,0.20276497695852536,1.37984496124031,9.781567614125754,Steal
Jalen Duren,Kat's Kittens,54,38.77,70.0,35,32.85833333333333,5.911666666666676,0.17991377124017277,1.5891472868217056,9.394509043927664,Steal
Jalen Suggs,Jeremy Lin fan club,112,33.79,57.0,53,25.924,7.866,0.3034253973152291,1.1395348837209303,8.963581395348838,Steal
Deni Avdija,Van Der Linde Gang,84,41.24,66.0,22,35.05111111111111,6.18888888888889,0.17656755214607242,1.3565891472868217,8.395779500430665,Steal
Shai Gilgeous-Alexander,YSK FC,2,55.49,68.0,3,51.292857142857144,4.1971428571428575,0.08182704358724412,1.9922480620155039,8.361749723145072,Steal
Victor Wembanyama,Van Der Linde Gang,4,55.41,64.0,4,51.30428571428571,4.105714285714285,0.08002673126722913,1.9767441860465116,8.11594684385382,Steal
Immanuel Quickley,Goat's,103,35.49,70.0,46,28.997142857142855,6.492857142857147,0.22391368607744622,1.2093023255813953,7.851827242524922,Steal
Amen Thompson,Hawk Tuah Demure,41,40.43,79.0,25,35.81875,4.611249999999998,0.1287384400628162,1.689922480620155,7.792655038759687,Steal
Scottie Barnes,Van Der Linde Gang,37,44.05,80.0,12,39.7275,4.322499999999998,0.10880372537914539,1.7209302325581395,7.438720930232554,Steal
Kel'el Ware,Van Der Linde Gang,124,28.71,77.0,75,21.736666666666665,6.973333333333336,0.32080969176506685,1.0465116279069768,7.297674418604655,Steal
James Harden,SKAVALASSKKYYYY,26,43.5,70.0,16,39.48625,4.013750000000002,0.10164930830352342,1.806201550387597,7.249641472868221,Steal
Stephon Castle,Kat's Kittens,107,35.01,68.0,48,29.065714285714286,5.944285714285712,0.204511943379534,1.178294573643411,7.0041196013289015,Steal
Austin Reaves,ybgcorp,50,40.06,51.0,26,35.865,4.195,0.11696640178446954,1.62015503875969,6.796550387596899,Steal
Cooper Flagg,SKAVALASSKKYYYY,46,39.69,70.0,27,35.91125,3.778749999999995,0.10522468585749577,1.6511627906976745,6.239331395348829,Steal
