season_year,week,home_team_id,home_team,home_score,away_team_id,away_team,away_score,winner,loser,winner_team_id,loser_team_id,margin
2026,10,6,Jeremy Lin fan club,1168.0,9,ybgcorp,1320.0,ybgcorp,Jeremy Lin fan club,9,6,152.0
2026,11,3,Kat's Kittens,1347.0,8,Hawk Tuah Demure,1564.0,Hawk Tuah Demure,Kat's Kittens,8,3,217.0
2026,11,4,SKAVALASSKKYYYY,1409.0,2,Phantom Troupe,1419.0,Phantom Troupe,SKAVALASSKKYYYY,2,4,10.0
2026,11,5,Poole Party,1602.0,1,YSK FC,1581.0,Poole Party,YSK FC,5,1,21.0
2026,11,10,Van Der Linde Gang,1447.0,6,Jeremy Lin fan club,1569.0,Jeremy Lin fan club,Van Der Linde Gang,6,10,122.0
2026,11,7,Goat's,1578.0,9,ybgcorp,1614.0,ybgcorp,Goat's,9,7,36.0
2026,12,8,Hawk Tuah Demure,1483.0,2,Phantom Troupe,1199.0,Hawk Tuah Demure,Phantom Troupe,8,2,284.0
2026,12,1,YSK FC,1489.0,3,Kat's Kittens,1349.0,YSK FC,Kat's Kittens,1,3,140.0
2026,12,6,Jeremy Lin fan club,1693.0,4,SKAVALASSKKYYYY,1405.0,Jeremy Lin fan club,SKAVALASSKKYYYY,6,4,288.0
2026,12,9,ybgcorp,1569.0,5,Poole Party,1362.0,ybgcorp,Poole Party,9,5,207.0
2026,12,7,Goat's,1496.0,10,Van Der Linde Gang,1232.0,Goat's,Van Der Linde Gang,7,10,264.0
2026,13,1,YSK FC,1396.0,8,Hawk Tuah Demure,1374.0,YSK FC,Hawk Tuah Demure,1,8,22.0
2026,13,2,Phantom Troupe,1217.0,6,Jeremy Lin fan club,1443.0,Jeremy Lin fan club,Phantom Troupe,6,2,226.0
2026,13,3,Kat's Kittens,1362.0,9,ybgcorp,1170.0,Kat's Kittens,ybgcorp,3,9,192.0
2026,13,4,SKAVALASSKKYYYY,1122.0,7,Goat's,1569.0,Goat's,SKAVALASSKKYYYY,7,4,447.0
2026,13,5,Poole Party,1178.0,10,Van Der Linde Gang,1080.0,Poole Party,Van Der Linde Gang,5,10,98.0
2026,14,8,Hawk Tuah Demure,1149.0,6,Jeremy Lin fan club,1109.0,Hawk Tuah Demure,Jeremy Lin fan club,8,6,40.0
2026,14,9,ybgcorp,1190.0,1,YSK FC,1601.0,YSK FC,ybgcorp,1,9,411.0
2026,14,7,Goat's,1504.0,2,Phantom Troupe,1332.0,Goat's,Phantom Troupe,7,2,172.0
2026,14,10,Van Der Linde Gang,1367.0,3,Kat's Kittens,1433.0,Kat's Kittens,Van Der Linde Gang,3,10,66.0
2026,14,5,Poole Party,1457.0,4,SKAVALASSKKYYYY,1562.0,SKAVALASSKKYYYY,Poole Party,4,5,105.0
2026,15,9,ybgcorp,1800.0,8,Hawk Tuah Demure,1258.0,ybgcorp,Hawk Tuah Demure,9,8,542.0
2026,15,6,Jeremy Lin fan club,1385.0,7,Goat's,1505.0,Goat's,Jeremy Lin fan club,7,6,120.0
2026,15,1,YSK FC,1489.0,10,Van Der Linde Gang,1287.0,YSK FC,Van Der Linde Gang,1,10,202.0
2026,15,2,Phantom Troupe,1720.0,5,Poole Party,1338.0,Phantom Troupe,Poole Party,2,5,382.0
2026,15,3,Kat's Kittens,1622.0,4,SKAVALASSKKYYYY,1443.0,Kat's Kittens,SKAVALASSKKYYYY,3,4,179.0
2026,16,8,Hawk Tuah Demure,1052.0,7,Goat's,1260.0,Goat's,Hawk Tuah Demure,7,8,208.0
2026,16,10,Van Der Linde Gang,1198.0,9,ybgcorp,1381.0,ybgcorp,Van Der Linde Gang,9,10,183.0
2026,16,5,Poole Party,947.0,6,Jeremy Lin fan club,1120.0,Jeremy Lin fan club,Poole Party,6,5,173.0
2026,16,4,SKAVALASSKKYYYY,943.0,1,YSK FC,1413.0,YSK FC,SKAVALASSKKYYYY,1,4,470.0
2026,16,3,Kat's Kittens,1144.0,2,Phantom Troupe,1160.0,Phantom Troupe,Kat's Kittens,2,3,16.0
2026,17,10,Van Der Linde Gang,1179.0,8,Hawk Tuah Demure,1612.0,Hawk Tuah Demure,Van Der Linde Gang,8,10,433.0
2026,17,7,Goat's,1555.0,5,Poole Party,1285.0,Goat's,Poole Party,7,5,270.0
